nombre,direccion,latitud,longitud,numero_copas,numero_taza,numero_cubiertos,tipo
PALMEIRAS,AV. 29 Y CIRCUNVALACION Y AV. FLAVIO REYES,-0.9458448,-80.7380223,0,0,3,Restaurante
EMPANADAS DE DANITO LAS,AV. 24 ENTRE CALLE 17 Y 20,-0.9463147,-80.7340323,0,1,0,Cafetería
RESTAURANTE CERVECERIA ARTESANAL LATITUD CERO,"UNIVERSITARIA 2,CALLE U8",-0.9756131,-80.8391147,0,0,1,Restaurante
RESTAURANTE CERVECERIA ARTESANAL LATITUD CERO,"UNIVERSITARIA 2,CALLE U8",-0.9756131,-80.8391147,3,0,0,Bar
CREPERIA EL MEDIODIA,AV. MALECON MALL DEL PACIFICO 20-23  EN EL INTERIOR DEL CENTRO COMERCIAL,-0.9423709,-80.7305385,0,1,0,Cafetería
RINCON MARINO EL,PARQUE DEL MARISCO,-0.9423709,-80.7305385,0,0,1,Restaurante
RINCON MARINO EL,PARQUE DEL MARISCO,-0.9423709,-80.7305385,0,0,1,Restaurante
CAFETERIA,"U 8,AV. U 4",-0.944937,-80.733312,0,1,0,Cafetería
RESTAURANTE TIERRA VERDE,AV. MALECON ENTRE CALLE 13 ,-0.9467087,-80.7474503,0,0,1,Restaurante
RESTAURANTE LA ESMERALDA,"CALLE 11, AVENIDAS 3 Y 4",-0.9620577,-80.7048954,0,0,1,Restaurante
RESTAURANT LA ESMERALDA,EDIF. 15 DE ABRIL PB L.C,-0.9620577,-80.7048954,0,0,1,Restaurante
LANGOSTINO EL ,Malecon de tarqui Parque del maisco,-0.956953,-80.746195,0,0,2,Restaurante
CABAÑA RESTAURANT REY NEPTUNO,PARQUE DEL MARISCO,-0.978915,-80.8417001,0,0,1,Restaurante
RESTAURANTE EL DELFIN AZUL 2,PARROQUIA SAN LORENZO AV. MALECON,-1.0682479,-80.8701263,0,0,1,Restaurante
RESTAURANTE J & J,CIUD.LA AURORA VILLA 54,-0.9756131,-80.8391147,0,0,1,Restaurante
DELIO'S FOOD,B-Cordova Av.6 y 7 C. 16,-0.948758,-80.7306795,0,1,0,Cafetería
PARROLLADA LAS DELICIAS DE JEYDEN,CALLE 12 Y AV. 44 S/N VIA SAN MATEO,-0.9528241,-80.7341829,0,0,1,Restaurante
PARROLLADA LAS DELICIAS DE JEYDEN,CALLE 12 Y AV. 44 S/N VIA SAN MATEO,-0.9528241,-80.7341829,0,0,1,Restaurante
CHIFA ASIA ,AV. FLAVIO REYES CALLE 20,-0.9655839,-80.7074325,0,0,1,Restaurante
COCINA DE LA BRUJA LA ,AV. CIRCUNVALACION ,-0.9620577,-80.7048954,0,1,0,Cafetería
BAR RESTAURANTE ECUABLUE,SITIO LOMA DE JOME SANTA MARIANITA,-0.9451759,-80.731148,0,0,2,Restaurante
LA DOLCE VITA ITALIANA,CIUDADELA MANTA 2000 CALLE PRICIPAL MANZANA P,-0.9620577,-80.7048954,0,0,1,Restaurante
ALICE RESTAURANTE,Calle 32 S/n AV. UMIÑA 1,-0.9484284,-80.7381095,0,0,2,Restaurante
SOUTH INDIAN RESTAURANT,CIUDADELA UNIVERSITARIA CALLE U6 S/N AV. U2,-0.9769785,-80.839952,0,0,2,Restaurante
LISTO GOURMET,KM 1 VIA LA AURORA,-0.9456656,-80.743149,0,1,0,Cafetería
LISTO GOURMET,KM 1 VIA LA AURORA,-0.9456656,-80.743149,0,1,0,Cafetería
LA COMISARIA,VIA A BARBASQUILLO SN SN,-0.9452568,-80.7525455,0,0,2,Restaurante
COMIDAS DE VICTOR # 003,"C.C. PASEO SHOPPING, AVDA. 4 DE NOVIEMBRE",-0.9463147,-80.7340323,0,0,2,Restaurante
LA CATRINA,"VIA BARBASQUILLO,CALLE 54A",44.611637,7.4833039,0,0,2,Restaurante
LA PATAGORDA  RESTAURANTE,VIA BARBASQUILLO SOLAR E C.C. LA QUADRA,-0.9620577,-80.7048954,0,0,4,Restaurante
CARL'S MANTA,,-0.948758,-80.7306795,0,0,1,Restaurante
TACA BRON'S,VIA BARBASQUILLO S/N CALLE UNIVERSITARIA,-0.948758,-80.7306795,0,0,2,Restaurante
APO`S,MALECON ESCENICO LOCAL#1,-0.948758,-80.7306795,0,0,2,Restaurante
REY DEL MARISCO EL,PARQUE DEL MARISCO,-0.9423709,-80.7305385,0,0,1,Restaurante
BAR KARAOKE LOS CUATES,FLAVIO REYES Y AV.22,-0.9451759,-80.731148,1,0,0,Bar
CABAÑAS EL DESCANSO DEL REY,SAN LORENZO,-1.0691138,-80.9071636,0,0,1,Restaurante
BAR KARAOKE WILLY,AV. FLAVIO REYES Y AV. 16 - CALLE 16,-0.9471362,-80.7296361,1,0,0,Bar
MAR HAMBU,"B/EL MURCIELAGO, C.M-1 AV.24",-0.949891,-80.7520125,0,0,3,Restaurante
RESTAURANT CAMILA Y MATEO,Santa Marianaita ,-0.9859804,-80.8484162,0,0,1,Restaurante
RESTAURANT LA MADRINA,CALLE 101 MALECON DE TARQUI FRENTE,-0.9620577,-80.7048954,0,0,1,Restaurante
DELFINES LOS ,MALECON ESCENICO LOCAL # 3,-0.9419745,-80.7327625,0,0,1,Restaurante
ROCA LA,VIA SAN MATEO SECTOR PIEDRA LARGA,44.611637,7.4833039,0,0,1,Restaurante
DELICIAS DE MARTHA LAS ,AEREOPUERTO GRNAL. ELOY ALFARO ,-0.9463147,-80.7340323,0,1,0,Cafetería
CORVINA LA,MALECON DE TARQUI PARQUE DEL MARISCO,44.611637,7.4833039,0,0,1,Restaurante
RESTAURAN DIOSA DEL MAR,PLAYITA MIA,-1.0267081,-80.88226,0,0,1,Restaurante
CEVICHERIA UMIÑA,CALLE 27 Y AV. 30,-0.9463591,-80.7391286,0,0,1,Restaurante
RINCON CRIOLLO,AV. FLAVIO REYES Y CALLE 20,-0.9447739,-80.7318919,2,0,0,Bar
PARADERO EL RE-ENCUENTRO,EL AROMO  PACHOCHE,-1.0682479,-80.8701263,0,0,2,Restaurante
AK BAR,AVE.24 CALLE 15 B. SAN RAFAEL,-0.9451759,-80.731148,2,0,0,Bar
RINCON DE TERE EL ,VIA BARBASQUILLO ATRAS ESCUELA DE PESCA,-0.9830146,-80.7062028,0,0,3,Restaurante
CABAÑA ROCIO ,CALLE J - 10 S/N Y AV. J - 9 Y J - 11,-1.0676743,-80.9080274,0,0,1,Restaurante
RAMON'S BAR,AV. FLAVIO REYES S/N AV. 22,-0.948758,-80.7306795,1,0,0,Bar
DELICIAS MANABITAS,C.10 Y AV.24 ESQ.,-0.9785158,-80.8412529,0,1,0,Cafetería
CAMOTILLO #2 EL ,"MALECON TARQUI, PARQUE DEL MARISCO",-0.9423709,-80.7305385,0,0,1,Restaurante
RESTAURANTE EL MESIAS,PLAYITA MIA ,-0.9484284,-80.7381095,0,0,1,Restaurante
DELFIN EL,Av.15 e/C 12 y 13,-1.0682479,-80.8701263,0,0,2,Restaurante
TUNA-BAR,CALLE 118 Y AVDA. 104,-0.9451759,-80.731148,0,0,1,Restaurante
RESTAURANTE LA SAZON DE PATY,AV. LA CULTURA ,-0.9620577,-80.7048954,0,0,2,Restaurante
SIRENA DEL MAR,MALECON TARQUI PARQUE DEL MARISCO,-0.9772473,-80.6831803,0,0,1,Restaurante
SEÑOR CAMARON EL ,MALECON DE TARQUI PARQUE DEL MARISCO,-0.9423709,-80.7305385,0,0,1,Restaurante
DESCANSO DEL SURFISTA  EL ,MALECON ESCENICO LOCAL # 5,-1.0682479,-80.8701263,0,0,2,Restaurante
FAISAN EL,VIA SAN MATEO CALLE 12 S/N MANTA,-1.0682479,-80.8701263,0,1,0,Cafetería
CHAU LAO,AV. FLAVIO REYES Y CALLE 20,-0.960042,-80.6891468,0,0,2,Restaurante
FOGON B.B.Q. MANTA EL ,EDIFICIO GONZALES CALLE 16 Y AV 6 ESQUINA,-1.0682479,-80.8701263,0,1,0,Cafetería
CAMOTILLO #1 EL ,Malecon de Tarqui parque del marisco,-0.9423709,-80.7305385,0,0,2,Restaurante
DELICIAS DEL MAR,VIA PUERTO AEROPUERTO PLAYA TARQUI,-1.0684461,-80.9075828,0,0,1,Restaurante
CAVAE FOOD,BARBASQUILLO VIA A SAN MATEO,-0.9492595,-80.7315661,0,1,0,Cafetería
MI RANCHO,VIA A SAN LORENZO,-0.9835913,-80.8450832,0,0,1,Restaurante
CAFELITO HOUSE,CALLE 33 S/N AV. FLAVIO REYES,-0.949891,-80.7520125,0,1,0,Cafetería
DULCE Y FÍO ,MALECON JAIME CHAVEZ,-0.9504589,-80.7357092,0,1,0,Cafetería
FOGATA DORADA LA,CALLE 16 AV. 15 ,-0.9620577,-80.7048954,0,0,2,Restaurante
CHAMO EL,PLAYITA MIA,-1.0682479,-80.8701263,0,0,1,Restaurante
CHAMO EL,PLAYITA MIA,-1.0682479,-80.8701263,0,0,1,Restaurante
BAR RESTAURANT BROOKLYN,PIEDRA LARGA,-0.9451759,-80.731148,0,0,2,Restaurante
 RESTAURANTE RINCON MARINERO #2,MALECON ESENICO MURCIELAGO,-1.0687407,-80.9072669,0,0,2,Restaurante
RINCON MARINERO EL ,MALECON ESCENICO LOCAL # 2,-0.9423709,-80.7305385,0,0,2,Restaurante
RINCON MARINERO 2 EL,MALECON ESCENICO LOCAL # 14,-0.9423709,-80.7305385,0,0,2,Restaurante
BAR KARAOKE THE SONRISE,AV. 24 Y CALLE 17 ,-0.9451759,-80.731148,1,0,0,Bar
STRAGOS BAR,AV. FLAVIO REYES Y AV. 17,-0.9763138,-80.8397397,2,0,0,Bar
PORTAL DE FANNY EL ,AV.7 Y C.8 Y 9,-0.9830146,-80.7062028,0,1,0,Cafetería
LOCO BAR,AV. FLAVIO REYES Y AV. 17,-0.9451759,-80.731148,0,1,0,Cafetería
KRAKATOA,AV.114 Y CALLE 107 ESQ.,-0.9582564,-80.7132625,0,0,3,Restaurante
EL ESPECIAL PICANTERIA MANTA,"AV. U 2,CALLE U 9",-0.9460512,-80.7451867,0,0,1,Restaurante
RAPIDOS FOOD M. BELEN,CIUDADELA LA AURORA,-0.951563,-80.7459812,0,1,0,Cafetería
EL NUESTRO BAR,VIA BARBASQUILLO LOCAL 22 PLAZA DEL SOL,-0.956953,-80.746195,1,0,0,Bar
ESQUINA DISCOTECA,AV.FLAVIO REYES Y C.12,-0.9830146,-80.7062028,2,0,0,Bar
ESQUINA DISCOTECA,AV.FLAVIO REYES Y C.12,-0.9830146,-80.7062028,2,0,0,Bar
ESQUINA DISCOTECA,AV.FLAVIO REYES Y C.12,-0.9830146,-80.7062028,1,0,0,Discoteca
SAZON DE WILSON LA,AV. 4 DE NOVIEMBRE JUNTO A NANY'S ,-0.9620577,-80.7048954,0,0,1,Restaurante
CERVECERIA UMIÑA,av de la cultura s/n av de la cultura,-0.9463591,-80.7391286,0,0,0,Establecimiento móvil
PK2'S,AV. 24 CALLE 17 ESQUINA BAJO DEL HOTEL ORO Y MAR,-0.948758,-80.7306795,1,0,0,Bar
PK2'S,AV. 24 CALLE 17 ESQUINA BAJO DEL HOTEL ORO Y MAR,-0.948758,-80.7306795,1,0,0,Bar
RESTAURANT BRISAS DEL MAR,PLAYITA MIA,-0.9788634,-80.8415203,0,0,1,Restaurante
BAR LA PARRANDA,"AV. FLAVIO REYES,CALLE 22",-0.9620577,-80.7048954,1,0,0,Bar
UMIÑA SUSHI COMIDA FUSION,CALLE U10 S/N AV. UNIVERSITARIA 2,-0.946798,-80.7466931,0,0,1,Restaurante
EL PATRON ONE,AV 24 S/N 17,-0.956953,-80.746195,1,0,0,Bar
CHIFA LAI #2,LOS ESTEROS CALLE 121 Y AV. 103 Y 104,-0.9447054,-80.7328436,0,0,2,Restaurante
RICA PIZZA LOUNGE,AV.15 Y C.14 ESQ.,-0.9420162,-80.7322805,0,0,2,Restaurante
DELICIAS DEL SABOR LAS ,PRADERA #2 MZ- ELT.21,-0.9788634,-80.8415203,0,1,0,Cafetería
SHOT BAR,BAJOS DEL EDIFICIO TORRE DEL SOL LOCAL C-5,-0.9451759,-80.731148,2,0,0,Bar
CEVICHERIA PICARDIAS DEL MAR,CALLES 123 Y AV.114 ESQUINA,-0.9505246,-80.7122854,0,0,1,Restaurante
PALMERAS LAS ,CALLE 23 AV. ME PERPETUO SOCORRO,-0.9550569,-80.746042,0,0,2,Restaurante
COMEDOR LA MADRINA 2,PLAYITA MIA LOCAL# 13,-0.9620577,-80.7048954,0,0,1,Restaurante
RESTAURANTE CHE PEPE,AV. 14 S/N CALLE 13 Y 14,-0.9484284,-80.7381095,0,0,1,Restaurante
CAFE DON JOSE,C.C. MANICENTRO LOCAL #2,-0.9756131,-80.8391147,0,1,0,Cafetería
CAFE DON JOSE,C.C. MANICENTRO LOCAL #2,-0.9756131,-80.8391147,0,1,0,Cafetería
LA NOVIA DEL TORO,24 y 25 001 m1,-0.9620577,-80.7048954,0,0,1,Restaurante
MUYA COCINA - FAMILIA,"U 8,AV. U 3",-0.9480443,-80.7459534,0,0,1,Restaurante
HOLLIWOOD PIZZA,BARRIO MARIA AUXILIADORA,-0.9420162,-80.7322805,0,0,1,Restaurante
DELI MARKET,CALLE 14 AV. 6 Y 7,-0.9455847,-80.7250078,0,1,0,Cafetería
QDQ BAR,Av Flavio Reyes Av 22 Av 22,-0.9451759,-80.731148,1,0,0,Bar
