name,cuisine,addr:street,@lat,@lon
PARQUE DEL MARISCO,,,-0.9505246,-80.7122854
,,,5.0090493,-73.5403041
CAMILO Y MATEO,,,-0.9859804,-80.8484162
,,,29.5875047,32.7235888
CEVICHERIA UMIÑA,seafood;fish_and_chips,Calle 27 ave 30,-0.9463591,-80.7391286
ARECIFE,,vía Barbasquillo,-0.944438,-80.7489144
LA PIOLA DEL BARBUN,regional,Via Giuseppe Garibaldi,44.611637,7.4833039
,regional,,-0.9417551,-80.7237001
RESTAURANT PLAYA BONITA,seafood;regional,,-0.9773342,-80.8404833
,,,-0.9846467,-80.6905031
FINISTERRE,,,-0.9472309,-80.7395436
KRAKATOA,,,-0.9582564,-80.7132625
TSUNAMI,,,-0.9493175,-80.7320813
MARIA JOSE,,,-0.9435492,-80.7397166
NUESTRA KALETA,,,-0.9478849,-80.7238237
ZONA MARINA,,,-0.9463256,-80.7276976
MUYA,,,-0.9480443,-80.7459534
SHAWARMA ESTAMBUL,turkish,Calle 31,-0.9443332,-80.7411427
CEVICHES Y EMCEBOLLADOS,,,-0.9504589,-80.7357092
MARTINICA MANTA,,,-0.9460512,-80.7451867
NOA BAR GRILL,burger;steak_house;breakfast;coffee_shop;grill,Avenida 18,-0.9451759,-80.731148
CHIFA INTERNACIONAL,,Avenida 4 de Noviembre,-0.9655839,-80.7074325
LA CARRERA DE ANTONIO,seafood,Avenida 30,-0.9528241,-80.7341829
CARMELO'S PICANTERIA,,,-0.948758,-80.7306795
CEVICHERÍA JUVENTUD ITALIANA,seafood,,-0.9526397,-80.7287614
,,,-0.9458981,-80.7451837
LA LEÑA,,,-0.9620577,-80.7048954
SANSON DE LINA,,,-0.9463147,-80.7340323
DELI MARKET GROCERY,deli,,-0.9455847,-80.7250078
GOVINDAS RESTAURANTE VEGETARIANO,,,-0.9484284,-80.7381095
RESTAURANTE VEGETARIANO GOVINDAS,,,-0.9483589,-80.7379616
"ASADERO ""LA ESQUINA DE ALES""",chicken,,-0.9830146,-80.7062028
CABAÑA NAVI,seafood;coffee_shop,,-0.978915,-80.8417001
LA CASA D'SANTOS,,,-0.959745,-80.715745
LA IMBABUREÑA FRITADAS,,,-0.9455102,-80.7290368
D MI RICO PERÚ,,Avenida Flavio Reyes,-0.9450054,-80.7315193
SAN SUSHI,asian;chinese;japanese;sushi,,44.6219046,7.4913368
GIRAPA,,,-0.9487355,-80.7470024
LA UEK,,Avenida Flavio Reyes,-0.9452602,-80.7298776
LA CASA ROSADA,,Avenida 1,-0.9463455,-80.7224879
AMERICAN DELI,american,,-0.9420605,-80.7323291
LA PINSA,pizza,,44.619739,7.4898112
EL REENCUENTRO,,,-1.0682479,-80.8701263
PACOCHE TONGAS,,,-1.0675649,-80.8886808
PIZZA HUT,pizza,,-0.9420162,-80.7322805
COMEDOR POPULAR,,,-0.9673468,-80.6794448
LAS DELICIAS DE MAYU,,,-0.9550569,-80.746042
LA HUEQUITA DEL MEDIO,coffee_shop;friture;local;savory_pancakes,Calle P-1,-0.9772473,-80.6831803
,,Vía Interbarrial,-0.9758223,-80.7105281
EL DELFÍN AZUL 2,,,-1.0687407,-80.9072669
EL DESCANSO DEL REY,,,-1.0691138,-80.9071636
DELICIAS DEL MAR,,,-1.0684461,-80.9075828
CABAÑA EL VELERITO,,,-1.0676743,-80.9080274
,,,-1.0686634,-80.9066323
BAMBU,fish;seafood,,-1.0653198,-80.9087231
,,,-1.0674431,-80.9044875
KIOSKO MAR AZUL,,,-1.0267081,-80.88226
D’LUCAS PIZZAS,pizza,,-0.988014,-80.847829
CABAÑA DONDE JUANITA,,,-0.9787492,-80.8415533
RESTAURANTE DON WILLY,,,-0.9756131,-80.8391147
FISH CEVICHERÍA,fish,,-0.9767808,-80.8400485
SODA BAR DE NACHO,,,-0.9763138,-80.8397397
SOUTH INDIAN RESTAURANT,indian,,-0.9769785,-80.839952
CABAÑA HERMANAS RIVERA,,,-0.9787467,-80.8414385
