name	cuisine	addr:street	@lat	@lon
Parque del Marisco			-0.9505246	-80.7122854
			5.0090493	-73.5403041
Camilo y Mateo			-0.9859804	-80.8484162
			29.5875047	32.7235888
Cevicheria Umiña	seafood;fish_and_chips	Calle 27 ave 30	-0.9463591	-80.7391286
Arecife		vía Barbasquillo	-0.9444380	-80.7489144
La Piola del Barbun	regional	Via Giuseppe Garibaldi	44.6116370	7.4833039
	regional		-0.9417551	-80.7237001
Restaurant Playa Bonita	seafood;regional		-0.9773342	-80.8404833
			-0.9846467	-80.6905031
Finisterre			-0.9472309	-80.7395436
Krakatoa			-0.9582564	-80.7132625
Tsunami			-0.9493175	-80.7320813
Maria Jose			-0.9435492	-80.7397166
Nuestra Kaleta			-0.9478849	-80.7238237
Zona Marina			-0.9463256	-80.7276976
Muya			-0.9480443	-80.7459534
Shawarma Estambul	turkish	Calle 31	-0.9443332	-80.7411427
ceviches y emcebollados			-0.9504589	-80.7357092
Martinica manta			-0.9460512	-80.7451867
NOA BAR GRILL	burger;steak_house;breakfast;coffee_shop;grill	Avenida 18	-0.9451759	-80.7311480
Chifa Internacional		Avenida 4 de Noviembre	-0.9655839	-80.7074325
La Carrera de Antonio	seafood	Avenida 30	-0.9528241	-80.7341829
Carmelo's Picanteria			-0.9487580	-80.7306795
Cevichería Juventud Italiana	seafood		-0.9526397	-80.7287614
			-0.9458981	-80.7451837
La Leña			-0.9620577	-80.7048954
Sanson de Lina			-0.9463147	-80.7340323
Deli Market Grocery	deli		-0.9455847	-80.7250078
Govindas Restaurante Vegetariano			-0.9484284	-80.7381095
Restaurante Vegetariano Govindas			-0.9483589	-80.7379616
"Asadero ""La Esquina de Ales"""	chicken		-0.9830146	-80.7062028
Cabaña Navi	seafood;coffee_shop		-0.9789150	-80.8417001
La casa D'Santos			-0.9597450	-80.7157450
La Imbabureña Fritadas			-0.9455102	-80.7290368
D mi rico Perú		Avenida Flavio Reyes	-0.9450054	-80.7315193
San Sushi	asian;chinese;japanese;sushi		44.6219046	7.4913368
Girapa			-0.9487355	-80.7470024
La UEK		Avenida Flavio Reyes	-0.9452602	-80.7298776
La Casa Rosada		Avenida 1	-0.9463455	-80.7224879
American Deli	american		-0.9420605	-80.7323291
La Pinsa	pizza		44.6197390	7.4898112
El Reencuentro			-1.0682479	-80.8701263
Pacoche Tongas			-1.0675649	-80.8886808
Pizza Hut	pizza		-0.9420162	-80.7322805
Comedor Popular			-0.9673468	-80.6794448
Las Delicias de Mayu			-0.9550569	-80.7460420
La Huequita del Medio	coffee_shop;friture;local;savory_pancakes	Calle P-1	-0.9772473	-80.6831803
		Vía Interbarrial	-0.9758223	-80.7105281
El Delfín Azul 2			-1.0687407	-80.9072669
El Descanso del Rey			-1.0691138	-80.9071636
Delicias del mar			-1.0684461	-80.9075828
Cabaña El Velerito			-1.0676743	-80.9080274
			-1.0686634	-80.9066323
Bambu	fish;seafood		-1.0653198	-80.9087231
			-1.0674431	-80.9044875
Kiosko Mar Azul			-1.0267081	-80.8822600
D’Lucas Pizzas	pizza		-0.9880140	-80.8478290
CABAÑA Donde Juanita			-0.9787492	-80.8415533
RESTAURANTE DON WILLY			-0.9756131	-80.8391147
Fish cevichería	fish		-0.9767808	-80.8400485
SODA BAR DE NACHO			-0.9763138	-80.8397397
SOUTH INDIAN RESTAURANT	indian		-0.9769785	-80.8399520
Cabaña Hermanas Rivera			-0.9787467	-80.8414385
CABAÑA MI PEQUEÑO DYLAN			-0.9835913	-80.8450832
CABAÑA MAYRELIS			-0.9779576	-80.8407904
CABAÑA ROSIMAR			-0.9786958	-80.8414036
CABAÑA YASHURI	fish;seafood		-0.9780240	-80.8408509
CABAÑA CAMILITA	fish;seafood		-0.9786319	-80.8413590
RESTAURANTE YAIMAR			-0.9857553	-80.8480648
CABAÑA LEIDY	fish;seafood		-0.9782768	-80.8410673
CABAÑA ESTRELLITA DE MAR			-0.9783295	-80.8411005
CABAÑA DON WILLY			-0.9783947	-80.8411398
